title,genre,director,runtime
Black Panther (2018),Action & Adventure,Ryan Coogler,135
Mission: Impossible - Fallout (2018),Action & Adventure,Christopher McQuarrie,147
BlacKkKlansman (2018),Comedy,Spike Lee,135
Spider-Man: Into the Spider-Verse (2018),Action & Adventure,Bob Persichetti,100
Roma (2018),Drama,Alfonso Cuarón,135
A Star Is Born (2018),Drama,Bradley Cooper,135
A Quiet Place (2018),Drama,John Krasinski,90
Can You Ever Forgive Me? (2018),Comedy,Marielle Heller,107
Eighth Grade (2018),Comedy,Bo Burnham,94
Paddington 2 (2018),Animation,Paul King (VII) ,105
Call Me by Your Name (2018),Drama,Luca Guadagnino,130
Incredibles 2 (2018),Action & Adventure,Brad Bird,118
Leave No Trace (2018),Drama,Debra Granik,109
The Favourite (2018),Drama,Yorgos Lanthimos,119
Widows (2018),Drama,Steve McQueen (III),128
Won't You Be My Neighbor? (2018),Documentary,Morgan Neville,94
Shoplifters (Manbiki kazoku) (2018),Art House & International,Hirokazu Koreeda,121
The Death of Stalin (2018),Comedy,Armando Iannucci,107
The Hate U Give (2018),Drama,George Tillman Jr.,132
Ant-Man and the Wasp (2018),Action & Adventure,Peyton Reed,118
Crazy Rich Asians (2018),Comedy,Jon M. Chu,120
Sorry to Bother You (2018),Comedy,Boots Riley,105
Phantom Thread (2018),Drama,Paul Thomas Anderson,130
First Man (2018),Drama,Damien Chazelle,138
"I, Tonya (2018)",Drama,Craig Gillespie,119
The Post (2018),Drama,Steven Spielberg,115
Isle of Dogs (2018),Action & Adventure,Wes Anderson,101
Free Solo (2018),Documentary,Elizabeth Chai Vasarhelyi,97
Avengers: Infinity War (2018),Action & Adventure,Anthony Russo,156
The Rider (2018),Drama,Chloé Zhao,104
Hereditary (2018),Drama,Ari Aster,127
McQueen (2018),Documentary,Ian Bonhôte,111
Three Identical Strangers (2018),Documentary,Tim Wardle,96
Summer 1993 (Estiu 1993) (2018),Art House & International,Carla Simón,96
The Guilty (Den skyldige) (2018),Drama,Gustav Möller,85
The Old Man & the Gun (2018),Drama,David Lowery,93
Minding the Gap (2018),Documentary,Bing Liu,93
First Reformed (2018),Drama,Paul Schrader,108
Bumblebee (2018),Action & Adventure,Travis Knight,114
Wildlife (2018),Drama,Paul Dano,104
A Fantastic Woman (Una mujer fantástica) (2018),Art House & International,Sebastián Lelio,100
Searching (2018),Mystery & Suspense,Aneesh Chaganty,101
Tea With the Dames (Nothing Like a Dame) (2018),Documentary,Roger Michell,94
Shirkers (2018),Documentary,Sandi Tan,96
The Tale (2018),Drama,Jennifer Fox,114
Cold War (Zimna wojna) (2018),Drama,Pawel Pawlikowski,89
Science Fair (2018),Documentary,Cristina Costantini,90
Oh Lucy! (2018),Comedy,Atsuko Hirayanagi,96
Night Comes On (2018),Drama,Jordana Spiro,87
Loveless (Nelyubov) (2018),Art House & International,Andrey Zvyagintsev,129
Hannah Gadsby: Nanette (2018),Comedy,Madeleine Parry,69
"Love, Simon (2018)",Drama,Greg Berlanti,109
RBG (2018),Documentary,Betsy West,96
Mandy (2018),Action & Adventure,Panos Cosmatos,120
Blindspotting (2018),Comedy,Carlos Lopez Estrada,95
Burning (Beoning) (2018),Art House & International,Chang-dong Lee,148
Border (Gräns) (2018),Art House & International,Ali Abbasi,110
The Ballad of Buster Scruggs (2018),Drama,Joel Coen,132
Zama (2018),Drama,Lucrecia Martel,115
In Between (2018),Drama,Maysaloun Hamoud,96
You Were Never Really Here (2018),Drama,Lynne Ramsay,89
Deadpool 2 (2018),Action & Adventure,David Leitch,119
Annihilation (2018),Action & Adventure,Alex Garland,May 
Foxtrot (2018),Drama,Samuel Maoz,114
Pick of the Litter (2018),Documentary,Dana Nachman,81
I Am Not a Witch (2018),Art House & International,Rungano Nyoni,90
The Cakemaker (2018),Drama,Ofir Raul Graizer,105
On Her Shoulders (2018),Documentary,Alexandria Bombach,94
Sweet Country (2018),Action & Adventure,Warwick Thornton,113
"Hale County This Morning, This Evening (2018)",Documentary,RaMell Ross,76
Thunder Road (2018),Comedy,no director,91
Ryuichi Sakamoto: Coda (2018),Documentary,no director,102
Marlina the Murderer in Four Acts (2018),Art House & International,Mouly Surya,93
Leaning Into the Wind (2018),Art House & International,Thomas Riedelsheimer,93
To All the Boys I've Loved Before (2018),Drama,Susan Johnson,120
Ralph Breaks the Internet (2018),Animation,Phil Johnston,114
Lean on Pete (2018),Drama,Andrew Haigh,121
Filmworker (2018),Art House & International,Tony Zierra,94
Beast (2018),Drama,Michael Pearce,107
Western (2018),Art House & International,Valeska Grisebach,119
Custody (Jusqu'à la garde) (2018),Drama,Xavier Legrand,93
Blaze (2018),Drama,Ethan Hawke,127
The Endless (2018),Horror,Justin Benson,112
Support the Girls (2018),Comedy,Andrew Bujalski,90
Bisbee '17 (2018),Documentary,Robert Greene,89
Robin Williams: Come Inside My Mind (2018),Documentary,Marina Zenovich,117
CAM (2018),Horror,Daniel Goldhaber,94
Hearts Beat Loud (2018),Comedy,Brett Haley,97
Revenge (2018),Action & Adventure,Coralie Fargeat,108
Journey's End (2018),Drama,Saul Dibb,107
Private Life (2018),Drama,Tamara Jenkins,123
Colette (2018),Drama,Wash Westmoreland,111
Tully (2018),Comedy,Jason Reitman,94
American Animals (2018),Comedy,Bart Layton,120
Creed II (2018),Action & Adventure,Steven Caple Jr.,130
Dark Money (2018),Documentary,Kimberly Reed,99
In Fabric (2018),Horror,Peter Strickland,118
Teen Titans Go! To the Movies (2018),Action & Adventure,Aaron Horvath,92
A Simple Favor (2018),Mystery & Suspense,Paul Feig,116
The Guardians (Les Gardiennes) (2018),Art House & International,Xavier Beauvois,134
